=== Allocation Statistics ===
| Requested (kb) | Allocated (kb) | Time (ns)     |
|----------------|----------------|---------------|
|              1 |              1 |          5401 |
|              2 |              2 |          4128 |
|              4 |              4 |          4309 |
|              8 |              8 |          4849 |
|             16 |             16 |          3396 |
|             32 |             32 |          4118 |
|             64 |             64 |          6442 |
|            128 |            128 |         11491 |
|            256 |            256 |         21360 |
|            512 |            512 |         42930 |
|           1024 |           1024 |         82835 |
|           2048 |           2048 |        190078 |
|           4096 |           4096 |        287370 |
|           8192 |           FAIL |               |
|          16384 |           FAIL |               |
|          32768 |           FAIL |               |
|          65536 |           FAIL |               |
|         131072 |           FAIL |               |
|         262144 |           FAIL |               |
|         524288 |           FAIL |               |
|        1048576 |           FAIL |               |

Average allocation time: 51439 ns
